Query,Run Time (s)
Q1,0.20865909258524576
Q2,0.09687360127766927
Q3,0.20221614837646484
Q4,0.14114602406819662
Q5,0.15344985326131186
Q6,0.02817678451538086
Q7,0.3943565686543783
Q8,0.1281876564025879
Q9,0.47742517789204914
Q10,0.45584050814310706
Q11,0.040230909983317055
Q12,0.07672651608784993
Q13,0.3826049168904622
Q14,0.06927323341369629
Q15,0.09159914652506511
Q16,0.07858522733052573
Q17,0.0678555965423584
Q18,0.6683096090952555
Q19,0.13793349266052246
Q20,0.08979733784993489
Q21,0.46335951487223304
Q22,0.11946964263916016
