Query,Run Time (s)
Q1,0.7102545102437338
Q2,0.08650271097819011
Q3,0.5764949321746826
Q4,0.5699231624603271
Q5,0.46423705418904615
Q6,0.07211772600809734
Q7,1.1378018856048584
Q8,0.3852425416310628
Q9,1.4396807352701821
Q10,0.9775033791859946
Q11,0.05591956774393718
Q12,0.22505323092142743
Q13,1.1434493859608967
Q14,0.18088722229003906
Q15,0.2581187884012858
Q16,0.17415404319763184
Q17,0.18882822990417478
Q18,2.0086309115091963
Q19,0.3898268540700277
Q20,0.2016410032908122
Q21,1.3947171370188396
Q22,0.20970384279886883
