Query,Run Time (s)
Q1,0.9312153657277424
Q2,0.2535160382588704
Q3,1.234759012858073
Q4,1.3537731965382893
Q5,1.5027052561442056
Q6,0.2522854010264079
Q7,4.395027319590251
Q8,1.2019931475321453
Q9,3.8146679401397705
Q10,2.2127573490142822
Q11,0.14093852043151855
Q12,0.7668917179107666
Q13,3.1780242125193277
Q14,0.6628818511962891
Q15,0.9118709564208984
Q16,0.6570900281270344
Q17,0.820553223292033
Q18,7.745793978373211
Q19,1.2547117074330647
Q20,0.6731263796488444
Q21,4.280219078063965
Q22,0.6978188355763754
