Query,Run Time (s)
Q1,0.034272750218709305
Q2,0.026799122492472335
Q3,0.03303194046020508
Q4,0.032098134358723954
Q5,0.036996523539225265
Q6,0.00877221425374349
Q7,0.09546550114949545
Q8,0.03933588663736979
Q9,0.09547710418701172
Q10,0.140790065129598
Q11,0.013396342595418293
Q12,0.02315831184387207
Q13,0.07117676734924316
Q14,0.02305754025777181
Q15,0.023501078287760414
Q16,0.031170686086018876
Q17,0.021980206171671547
Q18,0.14719915390014648
Q19,0.04149134953816731
Q20,0.03145337104797363
Q21,0.10014875729878744
Q22,0.05185588200887044
