"Operation"	"OCTEON"	"BF-2"	"BF-3"  "Host"
Add	0.15	0.52	0.78	4.14
Sub	0.15	0.59	0.77	4.14
Mul	0.18	0.16	0.36	1.38
Div	0.04	0.10	0.15	0.72
