"Operation"	"OCTEON"	"BF-2"	"BF-3"  "Host"
Add	0.00	1.20	1.68	1.10
Sub	0.00	1.21	1.68	1.10
Mul	0.00	1.17	1.42	1.10
Div	0.00	0.77	2.46	1.49
