"Operation"	"OCTEON"	"BF-2"	"BF-3"  "Host"
Add	1.18	1.44	1.70	6.54
Sub	1.18	1.38	1.71	6.43
Mul	0.60	1.25	1.39	2.76
Div	0.12	0.79	0.49	0.82
