"Operation"	"OCTEON"	"BF-2"	"BF-3"  "Host"
Add	0.00	1.21	1.69	6.54
Sub	0.00	1.25	1.69	6.54
Mul	0.00	1.06	1.69	2.76
Div	0.00	0.67	0.44	0.72
